Este,Norte,Cota,recpe_og,recpe_val,distancia_m
9149.542,24850.611,2155.046,23.29,23.01739311,5.54
8969.721,25091.582,2150.908,19.93,20.16479492,5.07
8968.865,25158.073,2127.125,17.92,18.53638458,8.21
9205.31,24750.792,2210.865,20.26,21.77732658,3.69
9254.352,24847.037,2178.989,23.11,22.76652527,6.53
9272.895,24796.648,2208.454,26.63,19.7482338,6.16
9050.763,24996.478,2189.476,22.07,20.17959785,10.14
9035.538,25340.245,2099.79,17.55,19.82050705,10.3
9056.252,25387.938,2102.442,12.98,13.38725853,6.93
9061.111,25195.929,2169.085,19.4,19.87752342,4.48
8990.582,25759.809,2138.527,15.36,18.81340599,8.6
9121.323,25151.815,2242.251,24.47,23.6422596,3.75
9063.494,25463.136,2155.462,20.73,19.7052021,5.49
9047.796,25597.836,2125.729,21.28,21.15313339,6.32
9138.946,25153.202,2204.98,23.53,21.41197205,8.49
9113.855,24943.501,2223.758,20.4,19.90682602,4.04
9040.564,25029.374,2243.245,23.22,20.96052933,5.48
8986.194,25297.131,2161.312,24.13,20.59841728,8.28
8992.814,25261.978,2269.62,22.78,20.88338852,5.76
9135.595,25252.968,2215.772,14.75,15.24954414,5.62
8991.521,25759.82,2128.069,16.39,19.88153458,9.83
9223.723,24847.853,2247.444,17.72,19.07335281,6.9
9190.386,24999.11,2260.645,22.91,22.34430504,6.53
9033.629,25249.369,2181.768,19.96,18.49306107,7.04
9122.013,25253.233,2184.059,15.98,16.70232773,5.44
9097.781,25253.791,2127.537,16.24,16.40382576,6.85
8997.352,25296.444,2139.232,19.31,19.88977814,6.72
9088.701,25405.866,2193.545,20.99,19.63471413,5.66
9080.627,25462.966,2130.836,18.08,17.95398903,9.17
9124.22,25585.007,2250.066,27.31,26.79996681,7.88
9179.827,24750.131,2250.646,10.58,12.15965271,8.79
9051.668,24750.007,2253.124,30.82,29.38910484,6.04
9246.694,24797.239,2269.011,20.43,20.9988575,6.12
9105.309,24949.709,2243.624,20.65,19.58979988,7.3
9050.332,24997.403,2218.708,17.95,18.57090569,9.29
9061.308,25195.858,2181.083,23.96,20.46217728,4.28
9196.046,24750.501,2225.413,23.52,19.65002251,3.8
9253.576,24899.46,2231.413,30.29,26.96967506,4.6
9060.766,25196.055,2148.089,19.23,19.20365143,6.28
9012.144,25270.633,2181.328,19.13,19.0932312,3.61
9108.391,25253.506,2152.363,21.9,20.89979362,5.24
8974.937,25297.565,2184.189,15.87,17.52588844,5.22
9047.645,25463.294,2178.24,19.16,19.43870735,6.54
8976.754,25103.324,2218.389,40.83,37.63652039,7.43
9130.419,25891.357,2151.396,18.05,17.87197876,6.09
9086.324,25997.184,2149.127,11.42,13.1761713,5.92
9081.778,25702.288,2203.811,24.93,23.50471306,8.8
9053.736,25697.015,2229.131,17.15,17.61705208,4.96
9077.806,25903.075,2183.393,21.09,20.45934486,3.0
9089.857,25950.474,2204.823,16.03,16.05219078,9.28
9096.686,25950.943,2196.088,16.31,15.7696743,4.09
9114.912,25951.675,2184.243,13.33,14.67739582,4.53
9015.09,25750.905,2165.563,19.46,18.57598686,2.51
9089.238,25947.434,2287.288,18.72,17.74816513,4.24
9014.469,25693.552,2198.568,7.78,10.7548418,1.59
9131.042,25734.074,2236.199,20.39,20.10279083,8.19
9052.625,25795.113,2233.486,18.02,19.06660271,6.87
9076.105,25800.392,2185.08,19.19,19.58585548,4.03
9085.133,25552.933,2200.038,19.65,19.15052986,5.23
9151.691,26001.271,2279.131,6.26,10.43257332,9.68
8915.515,25281.007,2158.325,14.99,15.80451012,8.74
9102.624,25289.697,2231.21,19.18,19.03216743,4.92
9133.429,26045.251,2224.825,17.33,15.87030029,7.88
8978.2,25852.483,2121.936,19.53,18.51036644,5.98
9070.099,25984.66,2265.155,14.68,15.46897125,11.37
9141.383,26044.824,2212.114,15.61,14.97068501,8.18
9067.968,25554.22,2218.114,18.95,18.82811928,7.15
8982.016,25852.412,2110.559,16.85,17.38799286,6.64
9152.042,26001.975,2189.137,22.6,21.98710251,9.13
9161.402,25200.202,2176.464,19.07,17.75272369,7.53
9149.55,25401.05,2271.52,22.89,23.37147141,7.95
