Este,Norte,Cota,Rec_Peso_PND25_(%),Rec_Peso_PND25_(%)_nscore,cluster_con_nscore,cluster_sin_nscore,origen,pred_nscore_knn,pred_nscore_xgb
9170.891102995023,24962.19665792469,1592.3084616743915,,,0,,relleno,0.0010383451781080244,-0.42870474
8805.056125037676,25277.771119135658,1411.1411402623105,,,0,,relleno,-0.24164339197959336,-0.25415236
8901.20439989686,25108.46000029796,1373.1952168463129,,,0,,relleno,-0.4791787001344227,0.008438824
8927.39436298265,24905.548732781568,1620.518269714126,,,0,,relleno,-0.015517577075820665,-0.17527601
8704.201104204183,25598.712215970278,1317.294815823681,,,0,,relleno,-0.6378381177150686,-1.1481345
9051.017868685114,26250.51891780944,1672.6380023315685,,,0,,relleno,-0.07807983132350553,0.06479093
9039.2529969804,24463.46939967274,1644.541969826729,,,0,,relleno,1.1235940736520553,0.024627378
8882.582604213767,25178.083621113547,1347.045290952011,,,0,,relleno,-0.25714967330362815,-1.0203265
8922.05425170354,25006.029277797392,1473.58004352375,,,0,,relleno,-0.08581666208378122,-0.47319338
9047.323215932533,25698.554236117245,1616.7114577606071,,,0,,relleno,-0.12364830982421457,-0.33023924
8814.246708798737,25445.80553862534,1501.9740205060834,,,0,,relleno,-0.2239229329744057,-0.7792121
8909.211562407774,25084.60119691643,1535.5841459798107,,,0,,relleno,-0.5188745241075875,-0.019986404
8948.061298240591,25981.2859830446,1503.7360953455766,,,0,,relleno,-0.46295395230791564,-0.49667475
8963.706131840787,24865.58884562519,1343.5180085540935,,,0,,relleno,-0.8773376732308696,-1.1701179
8979.249152899973,25787.033992718985,1686.9553289875707,,,0,,relleno,0.1259587415036888,0.19380702
8948.998203361,26000.96712710939,1553.9445449701095,,,0,,relleno,-0.150283444501681,-0.027960675
8739.508092948567,25897.057169427517,1347.641182285126,,,0,,relleno,-0.45298817525398294,-0.48060632
8789.399358980349,25155.414237435005,1408.2219925927457,,,0,,relleno,-0.24164339197959336,-0.18295863
8813.606856005428,25049.452937871974,1402.085756786614,,,0,,relleno,-0.25714967330362815,-0.501207
