Este,Norte,Cota,Rec_Peso_PND25_(%),Rec_Peso_PND25_(%)_nscore,cluster_con_nscore,cluster_sin_nscore
9049.107,25826.092,2218.272,19.44,0.4654243573976179,3,4
8979.955,25034.508,2152.196,26.52,1.31886257942606,2,4
9044.492,25146.143,2179.372,26.98,1.367858416142655,2,4
8881.722,25294.717,2164.516,38.46,2.141884075952025,2,4
8901.546,25277.669,2177.68,37.59,2.096116409077721,2,4
9011.123,25507.842,2100.682,27.1,1.39120205536241,2,4
9062.929,25696.995,2100.967,27.68,1.447832132511848,2,4
9256.22,24697.001,2216.589,23.25,0.9836143965617342,2,3
9166.261,25072.189,2168.542,23.79,1.044408794872596,2,3
9023.816,25441.951,2102.756,23.79,1.044408794872596,2,4
9245.192,24697.927,2240.392,20.34,0.5849182963256563,2,3
8999.457,24970.594,2140.382,28.51,1.513588931527053,2,4
9092.551,25052.038,2115.591,22.42,0.8616420727183318,2,3
9047.246,25340.202,2088.163,23.0,0.9416998217386928,2,4
9060.45,25646.15,2100.999,15.68,-0.1826397945871133,3,4
9019.8,25646.013,2100.883,20.63,0.6341173125595898,2,4
8989.882,25033.662,2167.187,29.72,1.597687319842403,2,4
9066.206,25751.792,2099.358,19.61,0.487736149568634,3,4
9037.832,25752.783,2101.842,22.22,0.8349081049977082,2,4
9072.026,25610.492,2103.685,19.19,0.401995024919857,3,4
8998.957,25645.831,2098.324,20.26,0.5701609063769159,2,4
9080.795,25057.028,2140.223,21.14,0.699468366034319,2,3
9101.177,25709.756,2203.23,23.47,1.010197030260156,2,4
9155.229,25154.414,2169.563,13.01,-0.7851107046926762,4,3
9209.03,25001.059,2127.872,26.96,1.36435557724851,2,3
9032.652,25030.023,2231.411,18.09,0.2471336338581233,2,4
8872.682,25448.335,2141.834,28.65,1.529558186142137,2,4
9104.721,25090.235,2171.899,26.39,1.304897342539864,2,3
8992.797,25752.826,2100.235,26.3,1.292464893096989,2,4
8944.601,25164.123,2169.836,18.78,0.3384653164661363,2,4
9219.641,24751.242,2187.987,19.68,0.4953916363388077,2,3
9021.512,24965.037,2117.518,19.02,0.3735908953653471,2,4
9149.542,24850.611,2155.046,23.29,0.9899162746699801,2,3
8969.721,25091.582,2150.908,19.93,0.5293010943086739,2,4
