Este,Norte,Cota,Rec_Peso_PND25_(%),Rec_Peso_PND25_(%)_nscore,cluster_con_nscore,cluster_sin_nscore,origen
9150.78,26044.841,2270.059,7.2,-2.752169028211249,3,4.0,original
9156.304,26044.489,2262.963,11.47,-1.209690318950794,3,4.0,original
9078.635,24937.082,2143.278,27.88,1.45538924223806,2,3.0,original
9209.18,25000.798,2162.371,22.89,0.9223302184168564,2,3.0,original
9049.107,25826.092,2218.272,19.44,0.4654243573976179,3,4.0,original
8979.955,25034.508,2152.196,26.52,1.31886257942606,2,4.0,original
9044.492,25146.143,2179.372,26.98,1.367858416142655,2,4.0,original
8881.722,25294.717,2164.516,38.46,2.141884075952025,2,4.0,original
8901.546,25277.669,2177.68,37.59,2.096116409077721,2,4.0,original
9011.123,25507.842,2100.682,27.1,1.39120205536241,2,4.0,original
9062.929,25696.995,2100.967,27.68,1.447832132511848,2,4.0,original
9256.22,24697.001,2216.589,23.25,0.9836143965617344,2,3.0,original
9166.261,25072.189,2168.542,23.79,1.044408794872596,2,3.0,original
9023.816,25441.951,2102.756,23.79,1.044408794872596,2,4.0,original
9245.192,24697.927,2240.392,20.34,0.5849182963256563,2,3.0,original
8999.457,24970.594,2140.382,28.51,1.513588931527053,2,4.0,original
9092.551,25052.038,2115.591,22.42,0.8616420727183318,2,3.0,original
9047.246,25340.202,2088.163,23.0,0.9416998217386928,2,4.0,original
9060.45,25646.15,2100.999,15.68,-0.1826397945871133,3,4.0,original
9019.8,25646.013,2100.883,20.63,0.6341173125595898,2,4.0,original
8989.882,25033.662,2167.187,29.72,1.597687319842403,2,4.0,original
9066.206,25751.792,2099.358,19.61,0.487736149568634,3,4.0,original
9037.832,25752.783,2101.842,22.22,0.8349081049977082,2,4.0,original
9072.026,25610.492,2103.685,19.19,0.401995024919857,3,4.0,original
8998.957,25645.831,2098.324,20.26,0.5701609063769159,2,4.0,original
9080.795,25057.028,2140.223,21.14,0.699468366034319,2,3.0,original
9101.177,25709.756,2203.23,23.47,1.010197030260156,2,4.0,original
9155.229,25154.414,2169.563,13.01,-0.7851107046926762,4,3.0,original
9209.03,25001.059,2127.872,26.96,1.36435557724851,2,3.0,original
9032.652,25030.023,2231.411,18.09,0.2471336338581233,2,4.0,original
8872.682,25448.335,2141.834,28.65,1.529558186142137,2,4.0,original
9104.721,25090.235,2171.899,26.39,1.304897342539864,2,3.0,original
8992.797,25752.826,2100.235,26.3,1.292464893096989,2,4.0,original
8944.601,25164.123,2169.836,18.78,0.3384653164661363,2,4.0,original
9219.641,24751.242,2187.987,19.68,0.4953916363388077,2,3.0,original
9021.512,24965.037,2117.518,19.02,0.3735908953653471,2,4.0,original
9149.542,24850.611,2155.046,23.29,0.98991627466998,2,3.0,original
8969.721,25091.582,2150.908,19.93,0.5293010943086739,2,4.0,original
8968.865,25158.073,2127.125,17.92,0.2176210030102561,2,4.0,original
9205.31,24750.792,2210.865,20.26,0.5701609063769159,2,3.0,original
9254.352,24847.037,2178.989,23.11,0.9665293160381756,2,3.0,original
9272.895,24796.648,2208.454,26.63,1.331211009925645,2,3.0,original
9050.763,24996.478,2189.476,22.07,0.7999689045671678,2,3.0,original
9035.538,25340.245,2099.79,17.55,0.1511682318481011,2,4.0,original
9056.252,25387.938,2102.442,12.98,-0.7956783987809201,3,4.0,original
9061.111,25195.929,2169.085,19.4,0.4612146045705892,2,4.0,original
8990.582,25759.809,2138.527,15.36,-0.2510159186832716,3,4.0,original
9121.323,25151.815,2242.251,24.47,1.120004453210245,2,3.0,original
9063.494,25463.136,2155.462,20.73,0.6458809914532019,2,4.0,original
9047.796,25597.836,2125.729,21.28,0.7249732056113145,2,4.0,original
9138.946,25153.202,2204.98,23.53,1.023186651437851,2,3.0,original
9113.855,24943.501,2223.758,20.4,0.602943093848241,2,3.0,original
9040.564,25029.374,2243.245,23.22,0.9774865599420672,2,4.0,original
8986.194,25297.131,2161.312,24.13,1.0852361340932,2,4.0,original
8992.814,25261.978,2269.62,22.78,0.9070697999135214,2,4.0,original
9135.595,25252.968,2215.772,14.75,-0.3924106733646152,3,3.0,original
8991.521,25759.82,2128.069,16.39,-0.0514600200966289,3,4.0,original
9223.723,24847.853,2247.444,17.72,0.1747594195216733,2,3.0,original
9190.386,24999.11,2260.645,22.91,0.930036179723713,2,3.0,original
9033.629,25249.369,2181.768,19.96,0.5348129936004699,2,4.0,original
9122.013,25253.233,2184.059,15.98,-0.1245233660830673,2,4.0,original
9097.781,25253.791,2127.537,16.24,-0.0766035447506464,2,4.0,original
8997.352,25296.444,2139.232,19.31,0.4389072476648156,2,4.0,original
9088.701,25405.866,2193.545,20.99,0.6831778069051377,2,4.0,original
9080.627,25462.966,2130.836,18.08,0.2449841572638266,2,4.0,original
9124.22,25585.007,2250.066,27.31,1.40413939393726,2,4.0,original
9179.827,24750.131,2250.646,10.58,-1.501886470314835,4,3.0,original
9051.668,24750.007,2253.124,30.82,1.716690234811703,2,3.0,original
9246.694,24797.239,2269.011,20.43,0.6090607460571764,2,3.0,original
9105.309,24949.709,2243.624,20.65,0.6386096176206587,2,3.0,original
9050.332,24997.403,2218.708,17.95,0.2197688327769444,2,3.0,original
9061.308,25195.858,2181.083,23.96,1.065023051211364,2,4.0,original
9196.046,24750.501,2225.413,23.52,1.020764157384144,2,3.0,original
9253.576,24899.46,2231.413,30.29,1.674321593934047,2,3.0,original
9060.766,25196.055,2148.089,19.23,0.4142668635342554,2,4.0,original
9012.144,25270.633,2181.328,19.13,0.3861289398488366,2,4.0,original
9108.391,25253.506,2152.363,21.9,0.782351383071528,2,4.0,original
8974.937,25297.565,2184.189,15.87,-0.141720676988027,3,4.0,original
9047.645,25463.294,2178.24,19.16,0.3902438013224332,2,4.0,original
8976.754,25103.324,2218.389,40.83,2.366560258341472,2,4.0,original
9130.419,25891.357,2151.396,18.05,0.2383070611848588,3,4.0,original
9086.324,25997.184,2149.127,11.42,-1.225942748902993,3,4.0,original
9081.778,25702.288,2203.811,24.93,1.151067116940522,2,4.0,original
9053.736,25697.015,2229.131,17.15,0.0942319252397101,3,4.0,original
