holeid;From;To;Este;Norte;Cota;Rec_Peso_PND25_(%)
DD4884;121.5;133.5;9190.386;24999.11;2260.645;22.91
DD4887;217.5;229.5;9033.629;25249.369;2181.768;19.96
DD5286;217.5;229.5;9122.013;25253.233;2184.059;15.98
DD5286;279;291;9097.781;25253.791;2127.537;16.24
DD5287;274.5;285;8997.352;25296.444;2139.232;19.31
DM5257;198;207;9088.701;25405.866;2193.545;20.99
DD4928;76.5;97.5;9080.627;25462.966;2130.836;18.08
DD3386;153.5;176;9124.22;25585.007;2250.066;27.31
DD4910;142.5;153;9179.827;24750.131;2250.646;10.58
DD5274;117;127.5;9051.668;24750.007;2253.124;30.82
DD4013;111;123;9246.694;24797.239;2269.011;20.43
DD3207;153;174;9105.309;24949.709;2243.624;20.65
DD3172;156.5;168.5;9050.332;24997.403;2218.708;17.95
DD3120;201;213;9061.308;25195.858;2181.083;23.96
DD4910;172.5;183;9196.046;24750.501;2225.413;23.52
DD4014;151.5;163.5;9253.576;24899.46;2231.413;30.29
DD3120;234;246;9060.766;25196.055;2148.089;19.23
DD3356;216;228;9012.144;25270.633;2181.328;19.13
DD5286;252;264;9108.391;25253.506;2152.363;21.9
DD5287;223.5;235.5;8974.937;25297.565;2184.189;15.87
DD4928;19.5;39;9047.645;25463.294;2178.24;19.16
DD4924B;195;205.5;8976.754;25103.324;2218.389;40.83
DD5233;295.5;306;9130.419;25891.357;2151.396;18.05
DD5294;306;316.5;9086.324;25997.184;2149.127;11.42
DD3835;4.5;18;9081.778;25702.288;2203.811;24.93
DD3135;164;185;9053.736;25697.015;2229.131;17.15
DD4996;55.5;75;9077.806;25903.075;2183.393;21.09
DD3944;0;9;9089.857;25950.474;2204.823;16.03
DD5003;9;21;9096.686;25950.943;2196.088;16.31
DD5003;28.5;45;9114.912;25951.675;2184.243;13.33
DD4948;57;69;9015.09;25750.905;2165.563;19.46
DD5004;64.5;91.5;9089.238;25947.434;2287.288;18.72
DD3861;33;60;9014.469;25693.552;2198.568;7.78
DD3380;185.5;221.5;9131.042;25734.074;2236.199;20.39
DD4976;166.5;199.5;9052.625;25795.113;2233.486;18.02
DD4974;0;37.5;9076.105;25800.392;2185.08;19.19
DD3870;13.5;34.5;9085.133;25552.933;2200.038;19.65
DD3200;119.5;145;9151.691;26001.271;2279.131;6.26
DD5401;114;136.5;8915.515;25281.007;2158.325;14.99
DD3199;149;189.5;9102.624;25289.697;2231.21;19.18
DD5458;220.5;232.5;9133.429;26045.251;2224.825;17.33
DD5466;300;310.5;8978.2;25852.483;2121.936;19.53
DM5255;142.5;151.5;9070.099;25984.66;2265.155;14.68
