Este_val,Norte_val,Cota_val,recpe_og,recpe_val,KNN,RandomForest,GradientBoosting,XGBoost
9045.0,25392.5,2272.5,19.24,18.81424332,16.4,18.5,21.9397965059478,19.247877
9065.0,25092.5,2242.5,17.37,18.16727448,18.734950706993775,18.02537839933405,20.352090056948068,19.920828
9125.0,25077.5,2242.5,25.96,24.53936577,21.911465886348868,17.842625362502854,19.412303492889503,18.993517
9065.0,25197.5,2272.5,24.01,23.55637932,20.673595263784925,17.60751281940644,23.003756440060304,21.258535
9045.0,25287.5,2257.5,15.79,16.73489761,16.25295046275143,18.12137697091322,16.8602768918675,16.856228
9015.0,25542.5,2197.5,23.35,22.21459389,20.32213907399646,19.205401288190362,20.05705041200894,20.260891
8985.0,25167.5,2272.5,20.78,20.14517021,19.15032224284965,19.276091913361306,24.375187248761645,22.06908
9065.0,25197.5,2242.5,21.87,22.5603466,20.306638586767452,17.78006950456742,19.06627581142286,19.17996
9065.0,25242.5,2257.5,19.99,21.10344315,18.954177625309892,16.858299425451246,16.50280984214745,16.399563
9045.0,25242.5,2197.5,16.87,16.81688881,18.72022519698101,18.899772230298694,18.890758811402396,18.16754
9095.0,25407.5,2227.5,12.01,13.2220068,13.203461308138122,16.630140350971004,17.08511677756054,16.87106
9105.0,25947.5,2152.5,20.16,18.97972488,18.27465506212451,16.75270934378307,16.066386001575392,16.690313
8995.0,25782.5,2197.5,16.45,16.90090942,16.993665751901958,18.7197985454733,19.28,18.9864
9025.0,25992.5,2242.5,24.35,20.77255821,19.31957665115959,16.411049504929128,17.71913728679846,17.261309
9135.0,25992.5,2212.5,10.95,12.63182926,13.981957872489678,15.123349967794084,14.5,15.7952
9005.0,26052.5,2242.5,18.72,11.65999985,17.9,18.03979821554106,19.292952766773844,17.423332
9015.0,26052.5,2212.5,16.89,18.33117867,17.730682092183162,18.021493124390364,19.35526115467496,18.08376
9025.0,26037.5,2197.5,26.22,23.4217701,20.45,17.8,16.876780019055605,15.842673
9115.0,26097.5,2197.5,12.65,13.00617886,12.561589809109039,13.852676254702487,14.280427293731304,13.669801
9155.0,26097.5,2227.5,19.18,17.3892498,16.186740259231346,15.52718787202292,15.269548312991764,15.599248
9145.0,25452.5,2287.5,25.09,24.74552536,22.8569622866271,18.02463403484376,19.06400507295787,18.4935
