Norte,Este,Cota,dist_3d_m,Rec_Peso_PND25_(%),recpe,diferencia
25502.995,9174.171,2270.211,6.010140347778023,28.0,27.80647469,0.19352530999999829
25589.465,9142.642,2294.111,7.288807172644901,23.56,23.99328804,-0.43328804000000076
25632.384,8991.802,2265.648,7.562444313844603,23.6,22.71552849,0.8844715100000009
25797.657,9115.771,2277.096,4.66286457019725,9.69,13.29672146,-3.606721460000001
25847.223,9097.399,2271.308,5.429806073886438,29.54,22.75481224,6.7851877599999995
25799.947,9120.984,2233.907,7.947686078350069,17.05,17.16030312,-0.11030311999999753
25894.732,9027.802,2272.641,7.757119890784066,25.41,21.37240219,4.037597810000001
25887.782,9094.331,2263.745,6.287058930851375,26.14,21.93207932,4.207920680000001
25903.706,9090.469,2284.083,5.801748529538585,20.03,18.23223686,1.7977631400000007
25948.532,9132.75,2287.515,2.4754290537194628,13.34,14.49603176,-1.1560317599999994
25948.323,9087.432,2266.384,6.633054273862363,17.04,17.61314201,-0.5731420100000015
25997.111,9026.228,2299.123,5.845804820553356,11.66,11.65999985,1.4999999997655777e-07
26000.602,9099.859,2268.387,9.386642317677644,16.41,17.00801086,-0.5980108599999987
25984.761,9129.744,2296.717,10.424526176281791,16.27,17.51434708,-1.2443470800000007
25984.794,9130.633,2286.255,8.592039920765384,15.12,15.31727219,-0.1972721900000014
25984.87,9131.67,2274.3,8.285276096786705,17.42,15.3644619,2.0555381000000015
26001.181,9151.562,2297.13,8.976998663250056,25.87,16.92651749,8.943482510000003
26001.529,9155.685,2264.65,9.340479966255318,16.99,13.04286385,3.9471361499999986
26046.478,9122.364,2306.83,7.871586879404417,17.5,15.44636059,2.0536394100000006
26046.043,9130.638,2296.171,10.038731692797445,11.21,14.75865459,-3.54865459
26044.841,9150.78,2270.059,8.81233011183754,7.2,11.00117493,-3.8011749299999993
26044.489,9156.304,2262.963,8.96609759036906,11.47,12.35391426,-0.8839142599999992
24937.082,9078.635,2143.278,8.715115202911278,27.88,27.07837486,0.8016251399999987
25000.798,9209.18,2162.371,6.831972262824647,22.89,20.27684021,2.613159790000001
25826.092,9049.107,2218.272,7.222596278347383,19.44,19.27900124,0.1609987600000018
25034.508,8979.955,2152.196,5.355044817740173,26.52,26.1836586,0.33634139999999846
25146.143,9044.492,2179.372,7.103090665337196,26.98,26.57564926,0.4043507400000017
25294.717,8881.722,2164.516,8.469629803008461,38.46,29.0906601,9.3693399
25277.669,8901.546,2177.68,7.866452631270153,37.59,34.61853027,2.9714697300000026
25507.842,9011.123,2100.682,9.122127876762137,27.1,24.87880516,2.2211948400000026
25696.995,9062.929,2100.967,8.195984077582704,27.68,23.84113503,3.8388649699999995
24697.001,9256.22,2216.589,6.9604110510799355,23.25,22.50253487,0.7474651299999984
25072.189,9166.261,2168.542,5.557212070815452,23.79,23.36639214,0.4236078600000006
25441.951,9023.816,2102.756,6.612018829374879,23.79,22.96831512,0.8216848799999994
24697.927,9245.192,2240.392,5.039132564241917,20.34,20.37264633,-0.03264632999999861
24970.594,8999.457,2140.382,5.639468857968779,28.51,25.53500748,2.9749925200000007
25052.038,9092.551,2115.591,8.621213719657359,22.42,21.35699654,1.063003460000001
25340.202,9047.246,2088.163,8.78150835562887,23.0,20.52698708,2.4730129199999986
25646.15,9060.45,2100.999,8.049099390614586,15.68,15.52139854,0.15860145999999986
25646.013,9019.8,2100.883,8.308781980531109,20.63,20.56583023,0.06416976999999946
25033.662,8989.882,2167.187,5.028134544738917,29.72,28.34173584,1.3782641600000005
25751.792,9066.206,2099.358,6.99913308917618,19.61,19.25937653,0.3506234699999986
25752.783,9037.832,2101.842,6.33350432225324,22.22,20.95506096,1.264939039999998
25610.492,9072.026,2103.685,8.515337045591572,19.19,18.24697876,0.9430212400000002
25645.831,8998.957,2098.324,7.236185873788006,20.26,20.22477531,0.03522469000000328
25057.028,9080.795,2140.223,7.4188636596190625,21.14,20.36577988,0.774220119999999
25709.756,9101.177,2203.23,7.248293937197095,23.47,22.2577858,1.2122141999999982
25154.414,9155.229,2169.563,2.8234386835918164,13.01,13.9646349,-0.9546349000000003
25001.059,9209.03,2127.872,6.86846161815005,26.96,24.75579834,2.2042016600000025
25030.023,9032.652,2231.411,5.190814386971957,18.09,18.6484623,-0.5584622999999986
25448.335,8872.682,2141.834,6.442352443013545,28.65,27.92974281,0.7202571899999981
25090.235,9104.721,2171.899,4.955730723112044,26.39,25.6517086,0.7382914000000014
25752.826,8992.797,2100.235,7.598665014329598,26.3,23.11593246,3.184067540000001
25164.123,8944.601,2169.836,4.12555765927484,18.78,18.72379684,0.05620316000000258
24751.242,9219.641,2187.987,8.102383229642077,19.68,19.84345627,-0.16345627000000107
24965.037,9021.512,2117.518,9.62719258143263,19.02,21.09285545,-2.0728554499999987
24850.611,9149.542,2155.046,5.538971113843367,23.29,23.01739311,0.2726068899999987
25091.582,8969.721,2150.908,5.066066422778009,19.93,20.16479492,-0.2347949199999988
25158.073,8968.865,2127.125,8.208969423746312,17.92,18.53638458,-0.6163845799999983
24750.792,9205.31,2210.865,3.68871102148282,20.26,21.77732658,-1.5173265799999989
24847.037,9254.352,2178.989,6.52620824062456,23.11,22.76652527,0.3434747300000005
24796.648,9272.895,2208.454,6.164985401443008,26.63,19.7482338,6.881766199999998
24996.478,9050.763,2189.476,10.143038450090028,22.07,20.17959785,1.89040215
25340.245,9035.538,2099.79,10.298959607650414,17.55,19.82050705,-2.270507049999999
25387.938,9056.252,2102.442,6.925511677848548,12.98,13.38725853,-0.40725853
25195.929,9061.111,2169.085,4.483813889981801,19.4,19.87752342,-0.4775234200000007
25759.809,8990.582,2138.527,8.602030806734728,15.36,18.81340599,-3.4534059900000003
25151.815,9121.323,2242.251,3.7485403826021853,24.47,23.6422596,0.8277403999999997
25463.136,9063.494,2155.462,5.4850684590085415,20.73,19.7052021,1.0247978999999994
25597.836,9047.796,2125.729,6.324314429248959,21.28,21.15313339,0.12686661000000043
25153.202,9138.946,2204.98,8.486113362429304,23.53,21.41197205,2.118027950000002
24943.501,9113.855,2223.758,4.03925611963426,20.4,19.90682602,0.4931739799999981
25029.374,9040.564,2243.245,5.477681717661077,23.22,20.96052933,2.259470669999999
25297.131,8986.194,2161.312,8.279078511524514,24.13,20.59841728,3.5315827199999994
25261.978,8992.814,2269.62,5.755473916194194,22.78,20.88338852,1.8966114800000007
25252.968,9135.595,2215.772,5.621301717573247,14.75,15.24954414,-0.49954413999999936
25759.82,8991.521,2128.069,9.833595578423532,16.39,19.88153458,-3.4915345799999997
24847.853,9223.723,2247.444,6.904235946142597,17.72,19.07335281,-1.3533528100000005
24999.11,9190.386,2260.645,6.532390144502397,22.91,22.34430504,0.5656949600000019
25249.369,9033.629,2181.768,7.042629196541653,19.96,18.49306107,1.4669389300000013
25253.233,9122.013,2184.059,5.436905277820662,15.98,16.70232773,-0.72232773
25253.791,9097.781,2127.537,6.8455833206524375,16.24,16.40382576,-0.1638257600000017
25296.444,8997.352,2139.232,6.723604985423335,19.31,19.88977814,-0.5797781400000019
25405.866,9088.701,2193.545,5.657683448195645,20.99,19.63471413,1.3552858699999994
25462.966,9080.627,2130.836,9.170015321688188,18.08,17.95398903,0.1260109699999994
25585.007,9124.22,2250.066,7.879581524421004,27.31,26.79996681,0.5100331899999979
24750.131,9179.827,2250.646,8.786319252109912,10.58,12.15965271,-1.5796527099999995
24750.007,9051.668,2253.124,6.044555318632725,30.82,29.38910484,1.4308951599999986
24797.239,9246.694,2269.011,6.123796044939103,20.43,20.9988575,-0.5688575
24949.709,9105.309,2243.624,7.302639111991197,20.65,19.58979988,1.0602001199999975
24997.403,9050.332,2218.708,9.290258177252875,17.95,18.57090569,-0.6209056900000007
25195.858,9061.308,2181.083,4.2819291213181625,23.96,20.46217728,3.497822720000002
24750.501,9196.046,2225.413,3.802063387162523,23.52,19.65002251,3.86997749
