Orig_Este,Orig_Norte,Orig_Cota,Orig_Real_RecPeso(%),Val_Este,Val_Norte,Val_Cota,Val_Real_Empresa_recpe(%),pred_real_knn,pred_real_xgb,pred_real_svr,pred_real_mlp,Rec_Peso_PND25_(%)_nscore,cluster_con_nscore,cluster_sin_nscore
8941.67,25807.92,1609.185,13.9,8945.0,25812.5,1612.5,13.91422272,15.555630567164432,16.603700745395894,15.301186453812127,15.895380477010603,-0.5758757719308434,2,2
9047.154,25594.014,1780.753,14.9,9045.0,25587.5,1777.5,16.48135757,15.722730302526234,15.224876548033306,15.98548453593705,16.398862035232355,-0.3548222977134121,2,2
9046.367,24971.701,1732.94,17.2,9045.0,24972.5,1732.5,17.19075966,18.131938368564832,17.603211601646763,17.641485891436222,16.947572558998907,0.1068412589070135,2,1
9092.324,24978.542,1822.01,16.4,9095.0,24972.5,1822.5,16.66834831,17.349377942035595,16.689111108356485,15.975495967116172,16.698282058443237,-0.0351351513638127,2,3
9090.823,24978.05,1805.586,18.8,9095.0,24972.5,1807.5,18.01652718,16.84607469987948,16.689111108356485,16.203641834993096,16.851765248736907,0.3390172169495177,2,3
8928.308,25706.63,1639.566,12.7,8925.0,25707.5,1642.5,13.4954567,15.603259977522816,15.099921205138536,15.825962473333718,16.265195143222364,-0.8625437144150381,2,2
8756.927,25807.131,1402.719,14.7,8755.0,25812.5,1402.5,14.69999886,14.410208664907827,14.094008862685213,13.097538048155995,14.62525237637304,-0.3992762163940186,2,1
8826.699,25796.015,1550.136,18.9,8825.0,25797.5,1552.5,17.15582657,15.232280937474941,14.818600692758444,14.683552782770859,15.793541540075983,0.3468171012040459,2,1
9136.407,24778.355,1788.873,14.0,9135.0,24777.5,1792.5,14.16794395,15.73,14.158041190252199,16.313760953790332,16.70878176988624,-0.5583922312531167,2,3
9070.067,24393.702,1541.627,22.8,9075.0,24387.5,1537.5,23.05593872,24.249707542402675,20.303709599273944,19.30291475515458,18.955909318929603,0.903300622288862,2,1
9247.887,24437.368,1603.439,13.3,9245.0,24432.5,1597.5,13.30000019,15.575115216956737,13.49,14.437145900861706,17.839272461848132,-0.726605810957545,2,3
9144.344,24839.302,1824.939,13.1,9145.0,24837.5,1822.5,13.14932156,15.73,14.711703843024033,15.654349104163662,16.210453320030666,-0.7580042333190848,2,3
9012.644,24598.74,1326.939,11.0,9015.0,24597.5,1327.5,11.11972904,12.991653003385972,12.700231445029024,14.891775572151426,15.36,-1.385697781068807,2,1
9021.461,24598.706,1285.108,14.5,9025.0,24597.5,1282.5,14.37736511,14.135638944945374,14.141892777381354,14.445496941834044,15.162566989448964,-0.4403831045648589,2,1
9074.611,24592.792,1465.014,14.6,9075.0,24597.5,1462.5,14.60000038,19.396767753552663,14.63647370981724,15.842098346775051,16.8,-0.4252277308747451,2,1
8896.43,25710.441,1528.62,13.8,8895.0,25707.5,1522.5,13.89790535,15.118792910609205,13.3,14.263190782918505,15.2,-0.602943093848241,2,1
9137.149,24752.29,1762.539,15.4,9135.0,24747.5,1762.5,15.44231319,15.73,15.228317484695859,16.641150241500807,17.076269196504768,-0.2380893279790155,2,3
9016.859,26591.985,1793.496,14.5,9015.0,26592.5,1792.5,14.51171589,15.834856852390068,14.336508800449854,15.116326210137881,15.297004559159749,-0.4403831045648589,2,2
9108.692,24382.829,1354.638,15.3,9105.0,24387.5,1357.5,15.28241253,15.785792732141546,15.546729506863912,15.233501035638634,17.357624530000844,-0.2600894251725466,2,1
9049.748,25169.873,1822.406,22.2,9045.0,25167.5,1822.5,22.20000267,17.450728285477062,19.940019106865517,16.038035965687968,17.39810155106452,0.8161498870226596,2,3
9084.266,25593.48,2265.255,9.34,9085.0,25587.5,2272.5,12.03394985,16.085626363282035,19.93344841483049,18.125888440916064,17.5,-1.934569529724341,3,2
9038.357,25997.772,2279.299,16.47,9035.0,25992.5,2272.5,16.88793945,14.688430943018242,15.5,17.027777403279295,15.336901927840426,-0.0185996237752267,3,2
9049.319,25500.22,2288.893,13.3,9045.0,25497.5,2287.5,13.84248066,12.406746858561359,13.601091148366546,18.899810035881853,16.715996216654045,-0.726605810957545,3,2
9099.841,26000.471,2305.887,26.72,9095.0,26007.5,2302.5,22.70690536,19.41505087115361,19.706724476334575,16.94648169558085,15.2,1.329601910801646,3,2
9023.762,25999.419,2252.374,13.83,9025.0,25992.5,2257.5,18.54434395,16.87469191990028,13.8,16.95649196002719,15.603425660814974,-0.5894557978497783,3,2
9073.272,25993.583,2205.183,14.44,9075.0,25992.5,2212.5,15.4901123,12.714683420318922,15.153427619030204,16.01905972321618,16.4,-0.4511404281257785,3,2
9048.789,25399.355,2266.071,19.24,9045.0,25392.5,2272.5,18.81424332,15.001773906383606,13.33419818683518,19.09760109538598,17.72958380467313,0.4149740232710051,3,2
9067.713,25092.534,2238.807,17.37,9065.0,25092.5,2242.5,18.16727448,20.142623755190368,18.843242525166104,19.17311767245528,19.076138204807155,0.1194676034284659,3,3
9129.889,25082.242,2244.423,25.96,9125.0,25077.5,2242.5,24.53936577,18.5,20.399005208384025,18.486298560375793,18.075936314301792,1.253004046434013,3,3
9062.462,25196.688,2265.821,24.01,9065.0,25197.5,2272.5,23.55637932,18.746832697471696,14.81975341788726,18.899904858848704,18.498630008641136,1.063222768539753,3,3
9043.187,25290.781,2256.849,15.79,9045.0,25287.5,2257.5,16.73489761,18.08907258742497,15.2904370868861,19.22388999404199,18.700139425897518,-0.1523905895074676,3,2
9012.635,25543.847,2202.188,23.35,9015.0,25542.5,2197.5,22.21459389,16.895015008395994,16.448354350766657,19.22834147545579,20.023104787370766,0.99032698278629,3,2
8989.51,25171.782,2265.928,20.78,8985.0,25167.5,2272.5,20.14517021,16.97154069430546,21.896342237304367,20.024114563571967,18.57515469549225,0.648724421102073,3,2
9062.121,25196.402,2240.324,21.87,9065.0,25197.5,2242.5,22.5603466,18.746832697471696,19.17876386877107,19.158784446980164,19.19748286096504,0.7665489229505702,3,2
9063.041,25249.811,2256.432,19.99,9065.0,25242.5,2257.5,21.10344315,18.746832697471696,12.457018200381857,19.003740039827626,18.97721022043379,0.5349861326938083,3,2
9040.442,25249.48,2199.236,16.87,9045.0,25242.5,2197.5,16.81688881,19.29420402226676,14.933053998588047,19.43771350577199,19.56444061759107,0.053972647052413,3,2
9091.656,25406.911,2228.654,12.01,9095.0,25407.5,2227.5,13.2220068,18.999992240125156,20.76909779588082,18.412639727005928,19.022634910157556,-1.070744597069211,3,2
9103.017,25952.407,2151.823,20.16,9105.0,25947.5,2152.5,18.97972488,16.59590696670477,18.17995502458132,15.26862254921271,15.2,0.5550566425903991,3,2
8994.647,25778.889,2203.276,16.45,8995.0,25782.5,2197.5,16.90090942,16.377446400141842,18.088021863681,18.193775228492065,17.838058502930885,-0.0213292851438357,3,2
9028.434,25999.319,2244.682,24.35,9025.0,25992.5,2242.5,20.77255821,20.025667435201584,17.701101305016596,16.8387303365085,15.798113192216661,1.091495943788281,3,2
9137.61,25985.487,2205.559,10.95,9135.0,25992.5,2212.5,12.63182926,16.38898641762611,13.400268214123622,15.638334734695977,16.250425964966063,-1.406438235289715,3,2
9003.739,26055.202,2246.199,18.72,9005.0,26052.5,2242.5,11.65999985,20.025667435201584,19.3670934138503,16.721977829373284,15.227085409475762,0.3229319925266089,3,2
9018.153,26046.195,2217.913,16.89,9015.0,26052.5,2212.5,18.33117867,18.479698678433436,15.84602782480019,16.37075787026151,15.593266800283345,0.061800131717614,3,2
9029.95,26038.633,2193.963,26.22,9025.0,26037.5,2197.5,23.4217701,19.40232337572576,18.04,16.172072137723866,15.812137657419138,1.269664385180663,3,2
