block_id,xcentre,ycentre,zcentre,xlength,ylength,zlength,recpe,ue
1980368,8655.0,25872.5,1132.5,10.0,15.0,15.0,12.00000095,2
1980369,8645.0,25872.5,1132.5,10.0,15.0,15.0,11.99999905,2
1980370,8655.0,25887.5,1117.5,10.0,15.0,15.0,12.0,2
1980371,8645.0,25887.5,1132.5,10.0,15.0,15.0,12.0,2
1980372,8645.0,25887.5,1117.5,10.0,15.0,15.0,12.0,2
1980373,8645.0,25872.5,1117.5,10.0,15.0,15.0,12.0,2
1980374,8655.0,25872.5,1117.5,10.0,15.0,15.0,12.0,2
1980375,8655.0,25887.5,1132.5,10.0,15.0,15.0,12.0,2
1980376,8665.0,25872.5,1117.5,10.0,15.0,15.0,12.0,2
1980377,8665.0,25872.5,1132.5,10.0,15.0,15.0,12.0,2
1980378,8675.0,25872.5,1117.5,10.0,15.0,15.0,12.0,2
1980379,8665.0,25887.5,1117.5,10.0,15.0,15.0,12.0,2
1980380,8665.0,25887.5,1132.5,10.0,15.0,15.0,12.0,2
1980381,8675.0,25887.5,1132.5,10.0,15.0,15.0,12.0,2
1980382,8675.0,25872.5,1132.5,10.0,15.0,15.0,12.0,2
1980383,8675.0,25887.5,1117.5,10.0,15.0,15.0,12.0,2
1980384,8695.0,25872.5,1132.5,10.0,15.0,15.0,12.0,2
1980385,8685.0,25872.5,1132.5,10.0,15.0,15.0,12.0,2
1980386,8685.0,25872.5,1117.5,10.0,15.0,15.0,12.0,2
1980388,8695.0,25887.5,1132.5,10.0,15.0,15.0,12.0,2
1980390,8685.0,25887.5,1132.5,10.0,15.0,15.0,12.0,2
1980398,8705.0,25872.5,1132.5,10.0,15.0,15.0,12.0,2
1980399,8705.0,25887.5,1132.5,10.0,15.0,15.0,12.0,2
1981560,8605.0,25902.5,1132.5,10.0,15.0,15.0,12.0,2
1981562,8615.0,25917.5,1132.5,10.0,15.0,15.0,12.0,2
1981564,8615.0,25902.5,1132.5,10.0,15.0,15.0,12.0,2
1981565,8605.0,25917.5,1132.5,10.0,15.0,15.0,12.0,2
1981569,8625.0,25902.5,1132.5,10.0,15.0,15.0,12.0,2
1981571,8625.0,25917.5,1132.5,10.0,15.0,15.0,12.0,2
1981572,8635.0,25902.5,1117.5,10.0,15.0,15.0,12.0,2
1981574,8635.0,25902.5,1132.5,10.0,15.0,15.0,12.0,2
1981575,8635.0,25917.5,1132.5,10.0,15.0,15.0,12.0,2
1981576,8645.0,25902.5,1132.5,10.0,15.0,15.0,12.0,2
1981579,8645.0,25902.5,1117.5,10.0,15.0,15.0,12.0,2
1981580,8655.0,25902.5,1117.5,10.0,15.0,15.0,12.0,2
1981581,8645.0,25917.5,1132.5,10.0,15.0,15.0,12.0,2
1981582,8655.0,25917.5,1132.5,10.0,15.0,15.0,12.0,2
1981583,8655.0,25902.5,1132.5,10.0,15.0,15.0,12.0,2
1981584,8665.0,25902.5,1132.5,10.0,15.0,15.0,12.0,2
1981586,8675.0,25902.5,1132.5,10.0,15.0,15.0,12.0,2
1981587,8665.0,25917.5,1132.5,10.0,15.0,15.0,12.0,2
1981589,8665.0,25902.5,1117.5,10.0,15.0,15.0,12.0,2
1981591,8675.0,25917.5,1132.5,10.0,15.0,15.0,12.0,2
1981594,8685.0,25917.5,1132.5,10.0,15.0,15.0,12.0,2
1981595,8685.0,25902.5,1132.5,10.0,15.0,15.0,12.0,2
1981596,8695.0,25902.5,1132.5,10.0,15.0,15.0,12.0,2
1981598,8695.0,25917.5,1132.5,10.0,15.0,15.0,12.0,2
1982768,8615.0,25932.5,1132.5,10.0,15.0,15.0,12.0,2
1982777,8635.0,25947.5,1132.5,10.0,15.0,15.0,12.0,2
1982778,8625.0,25932.5,1132.5,10.0,15.0,15.0,12.0,2
1982779,8635.0,25932.5,1132.5,10.0,15.0,15.0,12.0,2
1982781,8625.0,25947.5,1132.5,10.0,15.0,15.0,12.0,2
1982784,8655.0,25932.5,1132.5,10.0,15.0,15.0,12.0,2
1982787,8655.0,25947.5,1132.5,10.0,15.0,15.0,12.0,2
1982788,8645.0,25932.5,1132.5,10.0,15.0,15.0,12.0,2
1982790,8645.0,25947.5,1132.5,10.0,15.0,15.0,12.0,2
1982794,8665.0,25932.5,1132.5,10.0,15.0,15.0,12.0,2
1982796,8675.0,25932.5,1132.5,10.0,15.0,15.0,12.0,2
1982797,8665.0,25947.5,1132.5,10.0,15.0,15.0,12.0,2
1982798,8675.0,25947.5,1132.5,10.0,15.0,15.0,12.0,2
1982806,8685.0,25932.5,1132.5,10.0,15.0,15.0,12.0,2
2235243,8605.0,25677.5,1162.5,10.0,15.0,15.0,12.0,2
2235245,8615.0,25677.5,1162.5,10.0,15.0,15.0,12.0,2
2235248,8625.0,25677.5,1162.5,10.0,15.0,15.0,12.0,2
2235249,8625.0,25677.5,1147.5,10.0,15.0,15.0,12.0,2
2235251,8635.0,25662.5,1162.5,10.0,15.0,15.0,12.0,2
2235252,8635.0,25677.5,1147.5,10.0,15.0,15.0,12.0,2
2235253,8635.0,25677.5,1162.5,10.0,15.0,15.0,12.0,2
2235255,8625.0,25662.5,1162.5,10.0,15.0,15.0,12.0,2
2235256,8655.0,25662.5,1162.5,10.0,15.0,15.0,12.0,2
2235258,8655.0,25677.5,1147.5,10.0,15.0,15.0,12.0,2
2235260,8655.0,25677.5,1162.5,10.0,15.0,15.0,12.0,2
2235261,8645.0,25677.5,1162.5,10.0,15.0,15.0,12.0,2
2235262,8645.0,25677.5,1147.5,10.0,15.0,15.0,12.0,2
2235263,8645.0,25662.5,1162.5,10.0,15.0,15.0,12.0,2
2235264,8675.0,25677.5,1162.5,10.0,15.0,15.0,12.0,2
2235266,8675.0,25662.5,1162.5,10.0,15.0,15.0,12.0,2
2235267,8665.0,25677.5,1162.5,10.0,15.0,15.0,12.0,2
2235268,8665.0,25662.5,1162.5,10.0,15.0,15.0,12.0,2
2235270,8675.0,25677.5,1147.5,10.0,15.0,15.0,12.0,2
2235271,8665.0,25677.5,1147.5,10.0,15.0,15.0,12.0,2
2235277,8695.0,25677.5,1162.5,10.0,15.0,15.0,12.0,2
2235279,8685.0,25677.5,1162.5,10.0,15.0,15.0,12.0,2
2236443,8585.0,25707.5,1162.5,10.0,15.0,15.0,12.0,2
2236445,8595.0,25707.5,1162.5,10.0,15.0,15.0,12.0,2
2236446,8595.0,25692.5,1162.5,10.0,15.0,15.0,12.0,2
2236449,8615.0,25692.5,1162.5,10.0,15.0,15.0,12.0,2
2236450,8605.0,25692.5,1162.5,10.0,15.0,15.0,12.0,2
2236451,8605.0,25707.5,1147.5,10.0,15.0,15.0,12.0,2
2236452,8605.0,25707.5,1162.5,10.0,15.0,15.0,12.0,2
2236453,8615.0,25707.5,1147.5,10.0,15.0,15.0,12.0,2
2236454,8615.0,25707.5,1162.5,10.0,15.0,15.0,12.0,2
2236455,8615.0,25692.5,1147.5,10.0,15.0,15.0,12.0,2
2236456,8635.0,25707.5,1162.5,10.0,15.0,15.0,12.0,2
